Age,Income,LoanAmount,Credit_History,Loan_Status
22,59000,35000,1,3
21,9600,1000,0,2
25,9600,5500,1,3
23,65500,35000,1,2
24,54400,35000,1,4
21,9900,2500,1,2
26,77100,35000,1,3
24,78956,35000,1,4
24,83000,35000,1,2
21,10000,1600,1,3
22,85000,35000,1,4
21,10000,4500,1,2
23,95000,35000,1,2
26,108160,35000,1,4
23,115000,35000,0,4
23,500000,30000,0,3
23,120000,35000,0,4
23,92111,35000,1,4
23,113000,35000,1,4
24,10800,1750,1,2
25,162500,35000,0,4
25,137000,34800,0,2
22,65000,34000,1,4
24,10980,1500,0,3
22,80000,33950,1,4
24,67746,33000,1,3
21,11000,4575,1,3
23,11000,1400,0,3
24,65000,32500,1,3
21,11389,4000,1,2
21,11520,2000,1,3
25,120000,32000,0,2
26,95000,31050,1,3
25,306000,24250,0,3
26,300000,7800,0,4
21,12000,2500,1,4
22,48000,30000,1,2
24,64000,30000,1,3
25,75000,30000,1,4
23,71500,30000,1,4
26,62050,30000,1,2
24,12000,2500,1,3
26,300000,20000,0,4
23,300000,24250,0,2
26,300000,10000,0,4
26,300000,25000,0,3
25,300000,18000,0,3
26,80690,30000,1,3
22,66300,30000,1,3
26,89028,30000,1,3
24,78000,30000,1,4
23,78000,30000,1,3
23,92004,30000,1,3
23,97000,30000,1,2
25,120000,30000,0,4
26,280000,10000,0,3
26,277104,20000,0,3
23,277000,35000,0,4
25,128000,30000,0,4
24,12000,1750,0,3
21,131000,30000,0,4
22,275000,12000,0,2
26,263000,10000,1,4
25,221850,25000,1,2
22,70000,29100,1,3
22,12000,1500,0,3
26,260000,28000,0,3
25,259000,20000,0,2
24,255000,9600,0,2
25,250000,25000,0,4
25,12000,3000,1,3
22,56950,28000,1,2
21,12000,3000,1,3
23,65000,28000,1,2
26,85000,28000,1,3
26,12000,6100,1,3
22,88000,28000,1,3
21,12000,4200,1,4
22,12000,4750,1,2
24,83004,28000,1,4
24,250000,18000,0,3
144,250000,4800,0,3
25,100000,28000,0,3
26,110000,28000,0,2
26,12000,2700,1,4
22,108000,28000,1,4
23,151200,28000,0,2
24,69000,27600,1,2
21,12000,3250,1,3
22,70000,27500,1,3
22,240000,25000,0,2
26,73200,27050,1,2
24,83000,27000,1,2
24,73399,27000,1,3
23,62500,26000,1,2
23,120000,25600,0,3
24,12360,1600,0,3
22,60000,25475,1,3
25,234000,20000,0,4
24,234000,20000,0,4
26,234000,21600,0,3
25,221004,11900,1,3
26,232500,25000,0,2
25,230000,35000,0,4
23,83000,25300,1,3
22,12600,2000,1,4
25,12600,1750,0,3
21,42500,25000,1,3
24,41000,25000,1,3
25,12816,3000,1,4
24,12960,3650,1,3
26,226000,20000,0,4
25,225000,30000,0,2
26,213000,35000,1,2
24,225000,6000,0,4
24,12960,4500,1,4
23,12996,2400,1,2
22,42000,25000,1,2
26,48000,25000,1,4
25,12996,3600,1,3
22,12996,4750,1,3
25,42360,25000,1,3
21,49000,25000,1,2
25,225000,25000,0,2
26,225000,3000,0,4
23,225000,7500,0,2
26,225000,25000,0,2
22,49464,25000,1,3
23,50000,25000,1,3
25,50000,25000,1,2
24,44000,25000,1,2
23,50000,25000,1,4
22,50004,25000,1,2
22,50004,25000,1,3
22,52000,25000,1,4
23,13200,4950,1,4
24,220000,25000,0,2
23,216000,21000,0,3
25,216000,25000,0,3
26,216000,20000,0,2
23,215000,35000,0,3
26,215000,12000,0,2
23,52000,25000,1,2
26,46000,25000,1,4
22,53000,25000,1,4
26,47000,25000,1,2
23,47000,25000,1,2
23,13200,1400,0,4
21,13200,4500,1,4
22,210000,16000,0,4
26,210000,22000,0,4
26,48000,25000,1,2
22,54996,25000,1,4
24,55000,25000,1,4
23,55000,25000,1,3
23,55000,25000,1,3
24,55164,25000,1,4
26,56000,25000,1,2
24,203500,20000,0,3
23,190000,22000,1,3
23,13920,7750,1,4
24,60000,25000,1,3
24,60000,25000,1,3
26,54000,25000,1,2
23,14000,4000,1,3
24,200000,12000,0,2
24,200000,12000,0,2
